基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价,一年回报率,两年回报率,三年回报率,五年回报率,总回报率,晨星分类,成立日期,申购状态,赎回状态,投资风格箱,三年平均回报率,五年平均回报率,十年平均回报率,三年标准差,五年标准差,十年标准差,三年晨星风险系数,五年晨星风险系数,十年晨星风险系数,三年夏普比率,五年夏普比率,十年夏普比率,阿尔法系数,贝塔系数,R平方
51,华夏沪深300ETF联接,F0000004GG,4.0,3.0,27.92,低,16.73,低,0.66,中,17.65,3.21,16.8,8.44,9.3,股票型基金,2009-07-10,开放,开放,,3.22270,3.33003,,28.19481,25.93000,,17.01551,16.14330,,0.56398,0.39359,,2.72262,0.98668,98.45646
1021,华夏亚债中国指数A,0P0000SWB2,3.0,0.0,3.46,中,1.98,中,1.26,低,-0.35,3.02,5.83,3.5,24.0,纯债基金,2011-05-25,开放,开放,,0.00000,0.00000,,3.35829,3.13988,,1.88574,2.01074,,1.48190,0.52330,,-0.38706,1.09190,97.36950
1023,华夏亚债中国指数C,0P0000SWB3,3.0,0.0,3.43,中,1.98,中,1.18,低,-0.72,2.65,5.49,3.12,21.5,纯债基金,2011-05-25,开放,开放,,0.00000,0.00000,,3.32463,3.11795,,1.88131,2.02954,,1.39227,0.41051,,-0.67757,1.08072,97.38896
20011,国泰沪深300指数,F00000044A,3.0,3.0,28.18,低,17.39,偏低,0.6,中,18.66,2.63,15.08,7.12,-27.14,股票型基金,2007-11-11,开放,开放,大盘平衡,3.33141,3.36319,,28.42182,25.89082,,17.64700,16.51378,,0.51006,0.34231,,1.25928,0.99136,97.79070
20021,国泰上证180金融ETF联接,0P0000SJBO,4.0,4.0,32.19,中,16.23,低,0.65,中,19.61,-0.55,19.06,10.56,46.83,股票型基金,2011-03-31,暂停,暂停,,,,,32.44190,29.41633,,16.53261,15.59629,,0.55714,0.44474,,4.12060,1.04507,83.36847
40180,华安上证180ETF联接,F0000004H4,4.0,4.0,28.89,偏低,16.53,低,0.66,中,19.46,2.24,17.38,8.65,23.25,股票型基金,2009-09-29,开放,开放,,3.01154,3.18887,,29.12953,26.29975,,16.79252,15.77266,,0.56438,0.39889,,2.84141,1.01808,98.21124
40190,华安上证龙头ETF联接,0P0000Q5NT,4.0,3.0,26.89,低,17.69,偏低,0.67,高,16.39,3.34,17.04,8.14,25.7,股票型基金,2010-11-18,开放,开放,,3.36483,0.00000,,27.15129,24.76568,,17.94162,16.24336,,0.57883,0.39267,,3.58418,0.90786,89.93492
50002,博时裕富沪深300指数A,F020050002,5.0,4.0,28.91,偏低,16.44,低,0.86,高,24.01,10.45,24.32,12.19,292.52,股票型基金,2003-08-26,开放,开放,大盘平衡,,,,29.16864,26.55303,31.55760,16.67529,15.94939,21.50398,0.75945,0.50555,0.28630,8.56318,1.01699,97.70473
50013,博时上证超级大盘ETF联接,F0000004I9,4.0,2.0,28.49,低,15.38,低,0.66,中,29.36,5.58,17.45,5.56,-9.54,股票型基金,2009-12-29,开放,开放,,3.31739,,,28.84191,26.81706,,15.82377,16.11827,,0.54677,0.29717,,2.75452,0.97473,91.77688
50021,博时深证基本面200ETF联接,0P0000SXP4,5.0,4.0,26.35,低,15.93,低,0.82,高,16.09,11.42,21.22,10.01,23.97,股票型基金,2011-06-10,开放,开放,,3.09328,3.32016,,26.57478,25.41965,,16.12866,16.50161,,0.73282,0.43626,,7.82584,0.87148,86.46496
70023,嘉实深证基本面120联接,0P0000TKOG,5.0,4.0,27.13,低,16.28,低,0.82,高,18.5,11.08,21.86,9.87,43.26,股票型基金,2011-08-01,开放,开放,,2.64703,3.03633,,27.39495,25.89559,,16.52574,16.72055,,0.71551,0.41901,,7.70438,0.89038,84.89818
90010,大成中证红利指数,F0000004IE,5.0,4.0,28.75,偏低,17.81,偏低,0.85,高,23.98,13.25,23.33,11.9,48.4,股票型基金,2010-02-02,开放,开放,大盘价值,,,,28.87991,26.16906,,17.88509,16.50515,,0.77545,0.49861,,9.58197,0.95867,88.57534
90012,大成深证成长40ETF联接,0P0000RT0W,2.0,1.0,30.23,中,20.01,中,0.33,低,1.0,1.12,6.51,3.72,-8.9,股票型基金,2010-12-21,开放,开放,,3.50198,,,30.33822,26.10824,,20.15523,17.58777,,0.30741,0.22283,,-0.48687,0.73537,47.18219
100053,富国上证综指ETF联接,0P0000S0NW,4.0,3.0,26.93,低,16.66,低,0.63,中,16.8,1.66,15.69,7.97,20.3,股票型基金,2011-01-30,开放,开放,,2.93932,,,27.06260,24.16008,,16.76413,15.38755,,0.56348,0.37727,,2.58338,0.94794,98.69753
110019,易方达深证100ETF联接,F0000004HP,3.0,2.0,28.52,偏低,19.46,中,0.54,偏低,11.98,2.33,12.78,5.62,-0.54,股票型基金,2009-12-01,开放,开放,,4.13564,,,28.72108,26.54225,,19.65809,18.40439,,0.47414,0.30001,,1.02064,0.94358,86.72700
110020,易方达沪深300ETF联接,F0000004GT,4.0,3.0,27.86,低,16.63,低,0.64,中,17.59,2.59,16.06,7.71,13.19,股票型基金,2009-08-26,开放,开放,,3.13219,3.30606,,28.12492,25.70171,,16.90626,16.03187,,0.54198,0.36486,,2.08777,0.98498,98.60841
