基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
485007,工银瑞信信用添利债券B,F00000049E,3,3,8.25,中,4.32,中,1.29,偏低
485107,工银瑞信信用添利债券A,F00000049D,4,3,8.23,中,4.27,中,1.34,偏低
000007,鹏华国企债债券,0P0000XZ4D,1,0,6.31,偏低,4.27,中,0.72,低
050111,博时信用债券 - C,F0000004FQ,5,5,22.57,高,4.34,中,1.17,偏低
000150,华安双债添利债券C,0P0000YS2A,4,0,5.47,偏低,1.52,低,2.06,高
519735,交银强化回报债券 - C,0P00011O5T,0,0,5.90,偏低,3.49,中,0.95,低
050011,博时信用债券 - A/B,F0000004FO,5,5,22.57,高,4.31,中,1.19,偏低
217018,招商安瑞进取债券,0P0000SGHO,5,4,8.56,中,3.36,中,1.78,高
240013,华宝兴业增强收益债券B,F0000004E9,3,3,4.00,低,1.59,低,1.71,中
519733,交银强化回报债券 - A/B,0P00011O5S,0,0,5.91,偏低,3.43,中,1.01,低
240012,华宝兴业增强收益债券A,F0000004E8,3,3,4.00,低,1.54,低,1.82,高
000149,华安双债添利债券A,0P0000YS29,4,0,5.31,偏低,1.48,低,2.15,高
000143,鹏华双债加利债券,0P0000YRCF,3,0,4.60,低,2.39,偏低,1.84,高
573003,诺德增强收益债券,F0000004EA,1,1,10.57,高,8.26,高,0.15,低
000435,建信稳定添利债券A,0P000101H1,3,0,7.22,中,3.78,中,1.40,中
485014,工银添颐债券B,0P0000TLEO,4,5,9.69,中,2.89,偏低,1.53,中
000185,工银添福债券B,0P0000ZN11,4,0,8.91,中,2.98,偏低,1.62,中
000184,工银添福债券A,0P0000ZN10,5,0,9.01,中,2.92,偏低,1.66,中
485114,工银添颐债券A,0P0000TLEN,5,5,9.87,高,2.86,偏低,1.57,中
050116,博时宏观回报债券 - C,0P0000OQ3Y,2,1,13.90,高,8.54,高,0.60,低
519989,长信利丰债券,F0000004DY,4,5,10.00,高,4.96,高,1.42,中
000119,广发聚鑫债券C,0P0000YMY4,5,0,13.60,高,6.49,高,1.20,偏低
000118,广发聚鑫债券A,0P0000YMY3,5,0,13.58,高,6.48,高,1.21,偏低
100018,富国天利增长债券,F020100018,3,3,4.01,低,2.06,低,1.96,高
000377,上投摩根双债增利债券 - A,0P000101GT,4,0,9.81,中,4.66,高,1.15,偏低
000378,上投摩根双债增利债券 - C,0P000101GU,4,0,9.77,中,4.66,高,1.13,偏低
233013,大摩多元收益债券C,0P0000WJD2,4,0,5.78,偏低,1.92,低,2.30,高
000047,华夏双债债券A,0P0000Y602,3,0,5.46,偏低,1.90,低,1.65,中
050016,博时宏观回报债券 - A/B,0P0000OQ3W,2,1,13.84,高,8.55,高,0.60,低
530017,建信双息红利债券A,0P0000UO4M,4,4,6.86,中,2.39,偏低,2.07,高
000048,华夏双债债券C,0P0000Y603,3,0,5.47,偏低,1.90,低,1.59,中
217008,招商安本增利债券,F000000403,4,4,11.24,高,5.80,高,1.08,偏低
233012,大摩多元收益债券A,0P0000WJD1,4,0,5.79,偏低,1.88,低,2.39,高
519731,交银施罗德定期支付月月丰债券 - C,0P0000Z4TI,3,0,6.31,偏低,3.79,中,1.32,偏低
001013,华夏希望债券C,F000000491,2,2,4.14,低,2.19,偏低,1.63,中
470011,汇添富多元收益债券C,0P0000WNB6,4,0,8.07,中,3.33,中,1.53,中
070020,嘉实稳固收益债券,0P0000P3GH,2,2,5.33,偏低,3.01,中,1.30,偏低
519030,海富通稳固收益债券,0P0000Q3WP,3,3,12.98,高,7.60,高,0.77,低
213917,宝盈增强收益债券 - C,F0000004DL,3,3,5.48,偏低,2.54,偏低,1.33,偏低
485005,工银增强收益债券B,F00000042H,3,3,7.16,中,3.95,中,1.27,偏低
320009,诺安增利债券 - B,F0000004H7,3,2,12.35,高,7.91,高,0.75,低
180030,银华永泰积极债券 - C,0P0000UQV9,2,1,6.87,中,3.68,中,0.85,低
320008,诺安增利债券 - A,F0000004FI,3,3,12.26,高,7.77,高,0.80,低
519730,交银施罗德定期支付月月丰债券 - A,0P0000Z4TH,3,0,6.35,偏低,3.78,中,1.38,中
213007,宝盈增强收益债券 - A/B,F00000049T,3,3,5.48,偏低,2.50,偏低,1.42,中
485105,工银增强收益债券A,F00000042G,3,3,7.18,中,3.94,中,1.31,偏低
001011,华夏希望债券A,F000000490,2,2,4.12,低,2.17,低,1.71,中
610008,信达澳银信用债债券 - A,0P0000YI7U,1,0,10.33,高,8.07,高,0.49,低
610108,信达澳银信用债债券 - C,0P0000YI7V,1,0,10.30,高,8.09,高,0.44,低
470010,汇添富多元收益债券A,0P0000WNB5,4,0,8.06,中,3.30,中,1.59,中
000405,信诚月月定期支付债券,0P000102LR,1,0,17.33,高,11.04,高,0.47,低
180029,银华永泰积极债券 - A,0P0000UQV8,2,1,6.90,中,3.60,中,0.95,低
100037,富国优化增强债券 - C,F0000004FT,3,3,6.17,偏低,2.65,偏低,1.53,中
470018,汇添富双利债券A,0P00011U3D,0,0,9.12,中,5.29,高,1.05,低
050006,博时稳定价值债券B,F0000003Y5,5,4,10.34,高,1.99,低,1.50,中
000338,鹏华双债保利债券,0P0000ZGJO,2,0,2.37,低,1.31,低,1.76,高
