基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
000471,富国城镇发展股票,0P00011MXO,0,0,36.17,高,21.37,高,0.95,高
161613,融通创业板指数,0P0000VJQD,1,0,42.06,高,27.92,高,0.28,低
159915,易方达创业板ETF,0P0000TS9U,1,4,40.87,高,26.18,高,0.33,低
540010,汇丰晋信科技先锋股票,0P0000TITD,1,3,44.25,高,28.18,高,0.36,低
159906,大成深证成长40ETF,0P0000RT0V,2,2,29.76,偏低,19.05,中,0.34,低
159918,嘉实中创400ETF,0P0000VDVH,2,0,40.89,高,26.30,高,0.43,低
090012,大成深证成长40ETF联接,0P0000RT0W,2,1,30.23,中,20.01,中,0.33,低
161022,富国创业板指数分级,0P0000Z9U1,1,0,41.92,高,26.61,高,0.27,低
110026,易方达创业板ETF联接,0P0000TS9V,1,3,40.18,高,27.28,高,0.23,低
070030,嘉实中创400ETF联接,0P0000VDVI,2,0,39.10,高,25.52,高,0.39,低
340006,兴全全球视野股票,F00000040Q,4,5,28.86,偏低,19.14,中,0.55,偏低
160219,国泰国证医药卫生行业指数分级,0P0000Z6UO,2,0,29.53,偏低,19.48,中,0.35,低
161910,万家中证创业成长指数分级,0P0000WEJZ,1,0,35.90,高,24.19,高,0.19,低
159921,诺安中小板等权重ETF,0P0000X9Y9,2,0,32.90,高,21.27,高,0.34,低
163209,诺安中证创业成长指数分级,0P0000VGFG,1,0,33.48,高,22.89,高,0.21,低
206010,鹏华深证民营ETF联接,0P0000TPZ0,2,2,30.01,中,20.86,中,0.30,低
159911,鹏华深证民营ETF,0P0000TPYZ,2,2,31.46,中,21.70,高,0.33,低
360001,光大保德信量化股票,F0000003WJ,4,5,29.87,中,19.32,中,0.67,高
270026,广发中小板300ETF联接,0P0000T1UI,2,2,35.03,高,23.45,高,0.36,低
159907,广发中小板300ETF,0P0000SYA0,2,2,36.26,高,23.29,高,0.45,低
161825,银华中证800等权重指数增强分级,0P0000ZMJP,3,0,29.56,偏低,20.71,中,0.54,偏低
217019,招商深证TMT50ETF联接,0P0000T399,1,3,37.23,高,25.58,高,0.28,低
159909,招商深证TMT50ETF,0P0000T398,1,4,35.61,高,23.52,高,0.30,低
159902,华夏中小企业板ETF,F0000003ZW,2,2,33.88,高,21.88,高,0.36,低
000059,国联安中证医药100指数,0P0000Z54E,3,0,31.00,中,19.98,中,0.47,偏低
163111,申万菱信中小板指数,0P0000VRYS,2,0,33.19,高,22.23,高,0.32,低
410010,华富中小板指数增强,0P0000UN6F,1,1,32.25,高,21.65,高,0.27,低
162010,长城久兆中小板300指数分级,0P0000UTT1,2,0,34.77,高,22.97,高,0.37,低
000418,景顺长城成长之星,0P0000ZXK5,2,0,34.47,高,24.04,高,0.44,低
159929,汇添富中证医药卫生ETF,0P0000Z3OU,2,0,28.19,低,18.76,中,0.45,低
512120,华安中证细分医药ETF,0P0000ZWBP,2,0,27.46,低,18.12,偏低,0.44,低
161118,易方达中小板指数分级,0P0000WN13,1,0,32.94,高,23.22,高,0.21,低
163109,申万菱信深证成指分级,0P0000PV6C,2,1,30.99,中,20.90,中,0.38,低
162510,国联安双力中小板综指 (LOF),0P0000VDVJ,4,0,34.91,高,21.57,高,0.63,中
202017,南方深证成份ETF联接A,F0000004HS,2,1,29.76,偏低,19.97,中,0.43,低
165707,诺德S300,0P0000WLCW,2,0,30.87,中,21.42,高,0.41,低
159903,南方深证成份ETF,F0000004HR,2,1,30.87,中,20.47,中,0.44,低
470068,汇添富深证300ETF联接,0P0000TX4M,2,2,28.03,低,19.36,中,0.44,低
512010,易方达沪深300医药卫生ETF,0P0000ZD5J,3,0,23.11,低,15.11,低,0.58,偏低
160415,华安深证300指数(LOF),0P0000TQYP,2,2,31.13,中,21.58,高,0.44,低
159912,汇添富深证300ETF,0P0000TV13,2,2,29.92,中,20.38,中,0.48,偏低
161612,融通深证成份指数,0P0000PYFC,2,1,31.38,中,21.40,高,0.38,低
590007,中邮上证380指数增强,0P0000U27U,4,4,29.93,中,19.54,中,0.62,中
370023,上投摩根中证消费服务指数,0P0000WUGL,2,0,26.75,低,18.20,偏低,0.41,低
159932,大成中证500深市ETF,0P0000ZAQ4,3,0,33.69,高,22.14,高,0.53,偏低
160809,长盛同辉深证100等权重指数分级,0P0000WTIQ,1,0,32.61,高,23.63,高,0.37,低
161718,招商沪深300高贝塔指数分级,0P0000Z2VQ,2,0,30.37,中,20.45,中,0.46,偏低
660011,农银中证500指数,0P0000UGIE,3,2,32.32,高,21.64,高,0.54,偏低
165519,信诚中证800医药指数分级,0P0000Z5JX,2,0,28.69,偏低,19.45,中,0.40,低
164809,工银中证500指数分级,0P0000UZIG,2,0,34.58,高,24.20,高,0.41,低
161227,国投瑞银瑞福深证100指数(LOF),0P00016IAH,4,0,28.85,偏低,18.23,偏低,0.80,高
233010,大摩深证300指数增强,0P0000U6NW,2,2,32.13,中,22.01,高,0.51,偏低
160218,国泰国证房地产行业指数分级,0P0000XUIF,4,0,34.38,高,20.65,中,0.75,高
450009,国富中小盘股票,0P0000Q3WN,5,5,32.33,高,18.53,中,0.89,高
161213,国投瑞银中证下游消费与服务产业指数（LOF）,0P0000RQN3,3,4,28.64,偏低,19.11,中,0.55,偏低
159935,景顺长城中证500ETF,0P000111LV,3,0,32.51,高,21.53,高,0.56,偏低
165806,东吴深证100指数增强(LOF),0P0000V9AA,2,0,29.59,偏低,20.42,中,0.42,低
660014,农银深证100指数,0P0000WMFW,1,0,31.10,中,22.85,高,0.30,低
160119,南方中证500指数ETF联接 (LOF),F0000004H1,4,4,31.65,中,20.77,中,0.63,中
510660,华夏上证医药卫生ETF,0P0000Y2Z8,3,0,29.23,偏低,19.01,中,0.50,偏低
161507,银河沪深300成长增强指数分级,0P0000Y2ZD,2,0,26.38,低,17.84,偏低,0.36,低
376510,上投摩根大盘蓝筹股票,0P0000RS8E,2,3,32.15,中,22.13,高,0.33,低
162711,广发中证500ETF联接A,F0000004HL,3,3,31.74,中,21.33,高,0.54,偏低
161812,银华深证100指数分级,F0000004JF,2,2,29.00,偏低,19.74,中,0.49,偏低
510500,南方中证500ETF,0P0000XU4F,4,0,32.98,高,21.45,高,0.64,中
510510,广发中证500ETF,0P0000Y7WY,3,0,32.89,高,21.89,高,0.58,偏低
164811,工银深证100指数分级,0P0000WW1P,2,0,29.10,偏低,20.18,中,0.45,偏低
161604,融通深证100指数A,F020161002,2,1,29.81,偏低,20.40,中,0.49,偏低
000411,景顺长城优质成长,0P000101GX,0,0,34.18,高,22.48,高,0.33,低
000008,嘉实中证500ETF联接基金,0P0000Y0KA,3,0,31.16,中,20.99,中,0.56,偏低
519034,海富通中证内地低碳指数,0P0000VW9Q,1,0,32.04,中,22.62,高,0.31,低
159922,嘉实中证500ETF,0P0000XSUQ,3,0,32.54,高,21.54,高,0.61,中
110019,易方达深证100ETF联接,F0000004HP,3,2,28.52,偏低,19.46,中,0.54,偏低
540008,汇丰晋信低碳先锋股票,0P0000NX49,1,3,35.61,高,23.63,高,0.41,低
159901,易方达深证100ETF,F0000003YW,3,2,28.47,低,19.08,中,0.54,偏低
217017,招商上证消费80ETF联接,0P0000Q7BC,3,4,25.42,低,17.28,偏低,0.56,偏低
290010,泰信中证200指数基金,0P0000T16Q,3,2,29.04,偏低,19.86,中,0.53,偏低
000478,建信中证500指数增强,0P00011NOM,0,0,33.47,高,20.41,中,0.94,高
510150,招商上证消费80ETF,0P0000Q7SD,3,4,25.84,低,17.27,偏低,0.59,偏低
160616,鹏华中证500指数(LOF),F0000004IH,3,4,33.24,高,21.98,高,0.59,偏低
700002,平安大华深证300指数增强,0P0000UN6E,3,2,31.65,中,21.35,高,0.54,偏低
217027,招商央视财经50指数,0P0000XU4G,4,0,25.65,低,16.75,低,0.63,中
000082,嘉实研究阿尔法股票,0P0000YNF7,4,0,27.60,低,17.86,偏低,0.77,高
206005,鹏华上证民企50ETF联接,0P0000OX1B,3,4,26.18,低,17.85,偏低,0.53,偏低
000309,大摩品质生活精选股票,0P0000ZJOJ,3,0,39.88,高,25.04,高,0.66,高
160808,长盛同瑞中证200分级,0P0000UI87,1,1,33.15,高,25.06,高,0.23,低
162714,广发深证100指数分级,0P0000VQMO,2,0,29.98,中,21.13,高,0.45,低
162216,泰达宏利中证500指数分级,0P0000UFCB,5,5,33.41,高,20.68,中,0.76,高
510070,鹏华上证民企50ETF,0P0000OX27,3,4,27.59,低,18.79,中,0.54,偏低
540007,汇丰晋信中小盘股票,F0000004HT,2,2,33.32,高,24.23,高,0.43,低
163821,中银沪深300等权重指数(LOF),0P0000VTRB,3,0,28.49,低,18.97,中,0.58,偏低
165310,建信双利分级股票,0P0000SR5I,3,4,27.21,低,18.11,偏低,0.55,偏低
585001,东吴中证新兴,0P0000S37W,2,2,31.88,中,21.82,高,0.44,低
161017,富国中证500指数增强(LOF),0P0000TYLS,5,5,31.23,中,20.18,中,0.79,高
510630,华夏上证主要消费ETF,0P0000Y2ZB,4,0,24.77,低,15.65,低,0.73,高
206012,鹏华价值精选股票,0P0000VN9R,2,0,33.14,高,21.13,高,0.47,偏低
202025,南方上证380ETF联接,0P0000TVGN,3,4,31.18,中,21.07,高,0.62,中
