基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
163817,中银转债增强债券B,0P0000TFBT,3,4,34.97,高,20.15,中,0.56,中
163816,中银转债增强债券A,0P0000TFBS,3,5,34.98,高,20.11,中,0.57,中
000003,中海可转换债券 - A,0P0000Y2ZI,2,0,27.68,低,19.51,中,0.12,低
000004,中海可转换债券 - C,0P0000Y2ZJ,2,0,27.76,低,19.40,中,0.14,低
040023,华安可转换债券B,0P0000T39B,3,2,34.83,高,22.40,高,0.36,偏低
240018,华宝兴业可转债债券,0P0000SOSM,1,1,34.27,高,22.05,高,0.15,低
040022,华安可转换债券A,0P0000T39A,3,2,34.86,高,22.35,高,0.37,偏低
000081,天治可转债增强债券 - C,0P0000YLAU,3,0,30.49,偏低,18.71,偏低,0.31,偏低
000080,天治可转债增强债券 - A,0P0000YL6Q,3,0,30.51,偏低,18.71,偏低,0.32,偏低
519976,长信可转债债券 - C,0P0000VGFF,4,0,28.97,偏低,13.44,低,0.92,高
519977,长信可转债债券 - A,0P0000VGFE,5,0,28.98,偏低,13.28,低,0.95,高
531020,建信转债增强债券C,0P0000VXPV,5,0,22.85,低,4.65,低,1.32,高
530020,建信转债增强债券A,0P0000VXPU,5,0,22.80,低,4.59,低,1.34,高
340001,兴全可转债混合,F0000003VW,4,5,18.85,低,10.75,低,0.86,高
161826,银华中证转债指数增强分级,0P0000Z3JD,2,0,25.78,低,18.99,偏低,0.05,低
090017,大成可转债增强债券,0P0000UG6K,2,2,33.25,中,22.56,高,0.27,偏低
470059,汇添富可转换债券C,0P0000T396,3,3,31.49,中,21.00,中,0.45,中
470058,汇添富可转换债券A,0P0000T395,3,3,31.48,中,20.98,中,0.47,中
100051,富国可转债,0P0000RQ84,4,4,30.05,偏低,14.91,低,0.75,高
310518,申万菱信可转债债券,0P0000UHDX,3,3,30.90,中,19.00,中,0.47,中
050119,博时转债增强债券C,0P0000Q5ZG,4,3,31.78,中,15.45,偏低,0.58,中
050019,博时转债增强债券A,0P0000Q5ZF,4,3,31.55,中,15.43,偏低,0.59,中
000067,民生加银转债优选债券 - A,0P0000YAIB,1,0,35.29,高,26.11,高,0.18,低
000068,民生加银转债优选债券 - C,0P0000YAIC,1,0,35.23,高,26.11,高,0.17,低
