基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
400001,东方龙混合,F0000003WW,3,3,40.20,高,24.29,高,0.70,中
050201,博时价值增长贰号混合,F00000040V,2,1,20.72,低,14.69,低,0.20,低
050001,博时价值增长混合,F020050001,2,2,20.53,低,14.34,低,0.28,低
121006,国投瑞银稳健增长混合,F0000004A8,4,4,24.36,偏低,15.42,偏低,0.73,高
519697,交银优势行业混合,0P0000V7GF,5,5,27.23,偏低,15.19,偏低,1.21,高
320018,诺安新动力混合,0P0000V8VO,3,0,28.25,中,17.80,中,0.49,偏低
080002,长盛创新先锋混合,F00000049W,3,3,27.76,中,19.19,中,0.49,偏低
290005,泰信优势增长混合,F0000004AE,2,3,33.93,高,22.02,高,0.23,低
530012,建信积极配置混合,0P00011RXR,0,0,23.22,偏低,13.47,低,1.03,高
070002,嘉实增长混合,F020070002,4,4,30.73,高,17.97,中,0.71,高
217005,招商先锋混合,F0000003W4,3,3,23.58,偏低,15.31,偏低,0.47,偏低
255010,国联安稳健混合,F020255010,4,4,27.77,中,17.03,偏低,0.76,高
110001,易方达平稳增长混合,F020110001,4,4,27.68,中,17.40,偏低,0.66,中
000241,宝盈核心优势灵活配置混合C,0P0000Z7VA,3,0,32.38,高,21.76,高,0.58,中
121002,国投瑞银景气行业混合,F0000003VV,3,3,20.89,低,13.85,低,0.49,偏低
519732,交银定期支付双息平衡混合,0P0000Z821,5,0,26.88,偏低,16.72,偏低,0.95,高
162207,泰达宏利效率优选混合(LOF),F0000003ZB,2,3,27.26,偏低,18.84,中,0.24,低
213006,宝盈核心优势灵活配置混合A,F0000004ED,4,5,32.56,高,21.84,高,0.61,中
050022,博时回报混合,0P0000TXJW,3,3,29.24,中,19.64,中,0.50,偏低
240001,华宝兴业宝康消费品混合,F020240001,2,3,30.55,中,19.46,中,0.39,偏低
162102,金鹰中小盘精选混合,F0000003W3,4,3,26.72,偏低,17.41,偏低,0.58,中
350001,天治财富增长混合,F0000003WD,3,3,32.42,高,20.09,中,0.52,中
240002,华宝兴业宝康配置混合,F020240002,4,3,21.09,低,13.87,低,0.59,中
151001,银河稳健混合,F020151001,4,4,29.52,中,18.73,中,0.61,中
217001,招商安泰混合,F020217001,5,4,26.78,偏低,16.26,偏低,0.87,高
180020,银华成长先锋混合,0P0000PSP9,1,1,35.02,高,24.52,高,0.26,低
100029,富国天成红利混合,F00000049S,3,4,28.20,中,18.59,中,0.56,中
161605,融通蓝筹成长混合,F020161003,3,3,26.24,偏低,17.11,偏低,0.51,偏低
673010,西部利得新动向混合,0P0000TP1W,4,3,23.67,偏低,10.01,低,0.65,中
660003,农银平衡双利混合,F0000004EW,3,3,30.45,中,20.37,高,0.48,偏低
050007,博时平衡配置混合,F0000003ZM,2,2,17.97,低,14.18,低,0.08,低
450001,国富中国收益混合,F0000003XQ,4,4,20.12,低,12.39,低,0.76,高
373010,上投摩根双息平衡混合A,F0000003ZJ,2,3,32.91,高,21.70,高,0.39,偏低
