基金代码,基金名称,一年回报率,两年回报率,三年回报率,五年回报率,总回报率
150054,泰达宏利中证500指数分级 - 泰达进取,34.84,19.62,28.38,19.37,151.05
150053,泰达宏利中证500指数分级 - 泰达稳健,5.32,5.57,5.87,6.11,36.44
150052,信诚沪深300指数分级 - B,33.89,-28.84,-0.20,-7.90,-33.61
150029,信诚500 - B,29.04,-19.81,3.16,5.45,-29.97
150051,信诚沪深300指数分级 - A,4.09,5.39,5.56,5.97,33.89
150028,信诚500 - A,3.95,4.88,5.22,5.73,43.44
150022,申万菱信深证成指分级 - 申万收益,7.83,8.07,10.81,7.01,44.34
150023,申万菱信深证成指分级 - 申万进取,10.85,-36.62,17.33,-15.46,-85.19
150040,中欧鼎利分级债券 - B,1.36,7.57,20.89,14.75,86.05
150039,中欧鼎利分级债券 - A,3.75,3.83,3.87,3.94,24.73
150060,银华中证内地资源指数分级 - 银华鑫瑞,34.98,-6.80,10.18,-23.30,-71.38
150016,兴全合润分级混合 - A,7.84,25.82,28.36,16.64,115.87
150017,兴全合润分级混合 - B,20.09,32.77,33.04,34.26,220.99
150048,银华消费主题 - 银华瑞祥,-13.54,-14.53,-6.19,4.19,7.90
150018,银华深证100指数分级 - 银华稳进,5.13,5.37,5.54,6.29,49.39
150047,银华消费主题 - 银华瑞吉,5.20,4.91,5.57,6.07,37.89
150031,银华中证等权90指数分级 - 银华鑫利,29.97,-46.32,-15.53,-24.85,-88.31
150059,银华中证内地资源指数分级 - 银华金瑞,4.73,5.23,5.65,6.07,35.91
150030,银华中证等权90指数分级 - 银华金利,4.78,5.31,5.70,6.19,46.50
150019,银华深证100指数分级 - 银华锐进,15.69,-3.43,24.69,2.16,-21.10
150056,工银中证500指数分级B,12.61,-2.96,11.54,8.61,51.08
150055,工银中证500指数分级A,3.90,3.96,4.79,5.55,31.29
150064,长盛同瑞 - A,5.08,5.50,5.83,6.18,36.67
150065,长盛同瑞 - B,14.08,-49.10,-26.35,-18.29,-60.44
150058,长城久兆积极指数,7.70,-19.27,-6.82,-1.83,-8.83
150057,长城久兆稳健指数,5.74,5.81,5.42,5.54,31.23
150036,建信双利分级股票 - 建信稳健,3.95,4.23,4.98,5.68,38.32
150032,嘉实多利优先,5.08,5.01,5.00,5.01,33.34
150037,建信双利分级股票 - 建信进取,25.02,10.51,16.78,15.68,52.90
150033,嘉实多利进取,2.75,8.31,30.82,8.39,21.60
150066,国泰信用互利分级债券A,2.86,3.16,3.57,3.95,22.09
150012,国联安双禧中证100指数分级A,5.17,5.45,5.69,5.72,45.90
150013,国联安双禧中证100指数分级B,29.31,-2.17,23.75,4.89,2.19
150009,国投瑞银瑞和远见沪深300指数,18.31,2.92,18.43,7.63,9.87
150067,国泰信用互利分级债券B,5.73,11.33,18.32,13.61,88.52
150008,国投瑞银瑞和小康沪深300指数,29.38,6.58,16.31,7.96,11.58
