基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
090012,大成深证成长40ETF联接,0P0000RT0W,2,1,30.23,中,20.01,中,0.33,低
161022,富国创业板指数分级,0P0000Z9U1,1,0,41.92,高,26.61,高,0.27,低
110026,易方达创业板ETF联接,0P0000TS9V,1,3,40.18,高,27.28,高,0.23,低
070030,嘉实中创400ETF联接,0P0000VDVI,2,0,39.10,高,25.52,高,0.39,低
160219,国泰国证医药卫生行业指数分级,0P0000Z6UO,2,0,29.53,偏低,19.48,中,0.35,低
001023,华夏亚债中国指数C,0P0000SWB3,3,0,3.43,中,1.98,中,1.18,低
001021,华夏亚债中国指数A,0P0000SWB2,3,0,3.46,中,1.98,中,1.26,低
161910,万家中证创业成长指数分级,0P0000WEJZ,1,0,35.90,高,24.19,高,0.19,低
163209,诺安中证创业成长指数分级,0P0000VGFG,1,0,33.48,高,22.89,高,0.21,低
000088,嘉实中证金边中期国债ETF联接C,0P0000YF0C,1,0,2.62,低,1.66,偏低,0.58,低
000087,嘉实中证金边中期国债ETF联接A,0P0000YF0B,1,0,2.63,偏低,1.65,偏低,0.61,低
206010,鹏华深证民营ETF联接,0P0000TPZ0,2,2,30.01,中,20.86,中,0.30,低
270026,广发中小板300ETF联接,0P0000T1UI,2,2,35.03,高,23.45,高,0.36,低
217019,招商深证TMT50ETF联接,0P0000T399,1,3,37.23,高,25.58,高,0.28,低
160721,嘉实中证中期企业债指数 (LOF) - C,0P0000XSUX,3,0,3.47,中,2.13,中,1.32,偏低
160720,嘉实中证中期企业债指数 (LOF) - A,0P0000XSUT,3,0,3.43,中,2.15,中,1.26,低
000059,国联安中证医药100指数,0P0000Z54E,3,0,31.00,中,19.98,中,0.47,偏低
163111,申万菱信中小板指数,0P0000VRYS,2,0,33.19,高,22.23,高,0.32,低
162010,长城久兆中小板300指数分级,0P0000UTT1,2,0,34.77,高,22.97,高,0.37,低
161822,银华中证中票50指数债券 - C,0P0000X9YC,3,0,3.51,中,2.19,高,1.28,低
161821,银华中证中票50指数债券 - A,0P0000X9YB,3,0,3.46,中,2.13,中,1.39,偏低
167701,德邦德信中证中高收益企债指数分级,0P0000YA26,3,0,3.37,中,1.86,中,1.54,偏低
161118,易方达中小板指数分级,0P0000WN13,1,0,32.94,高,23.22,高,0.21,低
163109,申万菱信深证成指分级,0P0000PV6C,2,1,30.99,中,20.90,中,0.38,低
162510,国联安双力中小板综指 (LOF),0P0000VDVJ,4,0,34.91,高,21.57,高,0.63,中
202017,南方深证成份ETF联接A,F0000004HS,2,1,29.76,偏低,19.97,中,0.43,低
165707,诺德S300,0P0000WLCW,2,0,30.87,中,21.42,高,0.41,低
161120,易方达中债新综合债券指数发起式(LOF) - C,0P0000X1PC,3,0,3.04,偏低,1.48,偏低,1.68,中
161119,易方达中债新综合债券指数发起式(LOF) - A,0P0000X1PB,4,0,3.04,偏低,1.44,低,1.78,中
470068,汇添富深证300ETF联接,0P0000TX4M,2,2,28.03,低,19.36,中,0.44,低
160415,华安深证300指数(LOF),0P0000TQYP,2,2,31.13,中,21.58,高,0.44,低
161612,融通深证成份指数,0P0000PYFC,2,1,31.38,中,21.40,高,0.38,低
370023,上投摩根中证消费服务指数,0P0000WUGL,2,0,26.75,低,18.20,偏低,0.41,低
160809,长盛同辉深证100等权重指数分级,0P0000WTIQ,1,0,32.61,高,23.63,高,0.37,低
161718,招商沪深300高贝塔指数分级,0P0000Z2VQ,2,0,30.37,中,20.45,中,0.46,偏低
660011,农银中证500指数,0P0000UGIE,3,2,32.32,高,21.64,高,0.54,偏低
165519,信诚中证800医药指数分级,0P0000Z5JX,2,0,28.69,偏低,19.45,中,0.40,低
164809,工银中证500指数分级,0P0000UZIG,2,0,34.58,高,24.20,高,0.41,低
161227,国投瑞银瑞福深证100指数(LOF),0P00016IAH,4,0,28.85,偏低,18.23,偏低,0.80,高
160218,国泰国证房地产行业指数分级,0P0000XUIF,4,0,34.38,高,20.65,中,0.75,高
161213,国投瑞银中证下游消费与服务产业指数（LOF）,0P0000RQN3,3,4,28.64,偏低,19.11,中,0.55,偏低
160119,南方中证500指数ETF联接 (LOF),F0000004H1,4,4,31.65,中,20.77,中,0.63,中
162711,广发中证500ETF联接A,F0000004HL,3,3,31.74,中,21.33,高,0.54,偏低
161812,银华深证100指数分级,F0000004JF,2,2,29.00,偏低,19.74,中,0.49,偏低
164811,工银深证100指数分级,0P0000WW1P,2,0,29.10,偏低,20.18,中,0.45,偏低
161604,融通深证100指数A,F020161002,2,1,29.81,偏低,20.40,中,0.49,偏低
000008,嘉实中证500ETF联接基金,0P0000Y0KA,3,0,31.16,中,20.99,中,0.56,偏低
519034,海富通中证内地低碳指数,0P0000VW9Q,1,0,32.04,中,22.62,高,0.31,低
110019,易方达深证100ETF联接,F0000004HP,3,2,28.52,偏低,19.46,中,0.54,偏低
217017,招商上证消费80ETF联接,0P0000Q7BC,3,4,25.42,低,17.28,偏低,0.56,偏低
290010,泰信中证200指数基金,0P0000T16Q,3,2,29.04,偏低,19.86,中,0.53,偏低
160616,鹏华中证500指数(LOF),F0000004IH,3,4,33.24,高,21.98,高,0.59,偏低
217027,招商央视财经50指数,0P0000XU4G,4,0,25.65,低,16.75,低,0.63,中
206005,鹏华上证民企50ETF联接,0P0000OX1B,3,4,26.18,低,17.85,偏低,0.53,偏低
160808,长盛同瑞中证200分级,0P0000UI87,1,1,33.15,高,25.06,高,0.23,低
162714,广发深证100指数分级,0P0000VQMO,2,0,29.98,中,21.13,高,0.45,低
162216,泰达宏利中证500指数分级,0P0000UFCB,5,5,33.41,高,20.68,中,0.76,高
163821,中银沪深300等权重指数(LOF),0P0000VTRB,3,0,28.49,低,18.97,中,0.58,偏低
585001,东吴中证新兴,0P0000S37W,2,2,31.88,中,21.82,高,0.44,低
202025,南方上证380ETF联接,0P0000TVGN,3,4,31.18,中,21.07,高,0.62,中
167601,国金沪深300指数分级,0P0000Z1EL,2,0,29.84,中,19.33,中,0.50,偏低
160806,长盛同庆中证800指数(LOF),0P0000W410,3,0,28.98,偏低,19.23,中,0.54,偏低
165312,建信央视财经50指数分级,0P0000Y35C,4,0,24.31,低,15.46,低,0.65,中
165511,信诚中证500指数,0P0000S1P0,4,4,32.58,高,21.13,高,0.70,高
162907,泰信基本面400分级,0P0000WLZX,3,0,30.46,中,20.91,中,0.56,偏低
217016,招商深证100指数,0P0000O4VJ,2,2,30.01,中,20.72,中,0.51,偏低
000368,汇添富沪深300安中指数,0P0000ZQVG,3,0,28.83,偏低,18.48,偏低,0.52,偏低
160807,长盛沪深300指数(LOF),0P0000OWV7,3,2,29.51,偏低,18.28,偏低,0.56,偏低
519117,浦银安盛基本面400指数,0P0000VSXZ,3,0,29.90,中,20.21,中,0.63,中
240019,华宝兴业上证180成长ETF联接,0P0000TKYQ,4,3,27.83,低,16.01,低,0.61,中
166802,浙商沪深300指数分级,0P0000VPZZ,3,0,28.52,偏低,17.66,偏低,0.56,偏低
040190,华安上证龙头ETF联接,0P0000Q5NT,4,3,26.89,低,17.69,偏低,0.67,高
519706,交银深证300价值ETF联接,0P0000TXCO,3,3,27.44,低,17.74,偏低,0.63,中
165521,信诚中证800金融指数分级,0P000102LS,3,0,33.05,高,17.56,偏低,0.57,偏低
460220,华泰柏瑞上证中小盘ETF联接,0P0000RYNV,3,2,29.54,偏低,20.07,中,0.55,偏低
161816,银华中证等权90指数分级,0P0000SGHR,3,1,29.83,偏低,19.00,中,0.57,偏低
320014,诺安上证新兴产业ETF联接,0P0000SJ1A,2,2,31.74,中,21.25,高,0.44,低
161811,银华沪深300指数分级,0P00011PT5,0,0,28.28,低,18.53,中,0.48,偏低
165309,建信沪深300指数(LOF),F0000004HG,3,3,28.71,偏低,17.68,偏低,0.60,偏低
460300,华泰柏瑞沪深300ETF联接,0P0000VWWZ,4,0,26.93,低,15.85,低,0.65,中
660008,农银沪深300指数,0P0000SOZR,3,3,28.93,偏低,17.51,偏低,0.62,中
160417,华安沪深300指数分级,0P0000W9CH,2,0,28.58,偏低,18.16,偏低,0.50,偏低
161211,国投瑞银沪深300金融地产ETF联接,F0000004IY,4,4,33.47,高,17.13,偏低,0.67,高
160706,嘉实沪深300ETF联接 (LOF),F0000003XX,3,3,28.13,低,16.83,低,0.63,中
110020,易方达沪深300ETF联接,F0000004GT,4,3,27.86,低,16.63,低,0.64,中
200002,长城久泰沪深300指数,F0000003VZ,3,3,28.31,低,17.26,偏低,0.62,中
481009,工银沪深300指数,F0000004EH,3,3,28.73,偏低,17.42,偏低,0.61,中
519300,大成沪深300指数,F0000003Z1,3,3,28.31,低,17.32,偏低,0.61,中
100053,富国上证综指ETF联接,0P0000S0NW,4,3,26.93,低,16.66,低,0.63,中
000051,华夏沪深300ETF联接,F0000004GG,4,3,27.92,低,16.73,低,0.66,中
020021,国泰上证180金融ETF联接,0P0000SJBO,4,4,32.19,中,16.23,低,0.65,中
519027,海富通上证周期ETF联接,0P0000PRB8,3,3,30.71,中,15.64,低,0.59,偏低
020011,国泰沪深300指数,F00000044A,3,3,28.18,低,17.39,偏低,0.60,中
202015,南方开元沪深300ETF联接,F0000004EX,3,3,28.70,偏低,17.50,偏低,0.60,中
740101,长安沪深300非周期指数,0P0000W46K,3,0,28.71,偏低,18.80,中,0.55,偏低
519032,海富通上证非周期ETF联接,0P0000SPC4,2,2,30.42,中,19.38,中,0.50,偏低
263001,景顺长城上证180等权重ETF联接,0P0000VYEI,3,0,27.40,低,17.92,偏低,0.60,中
