基金代码,基金名称,一年回报率,两年回报率,三年回报率,五年回报率,总回报率
163110,申万菱信量化小盘股票(LOF),33.94,39.72,35.35,27.37,173.50
540006,汇丰晋信大盘股票A,35.53,25.95,33.92,23.11,186.50
159915,易方达创业板ETF,-8.39,4.15,6.35,21.09,109.33
450009,国富中小盘股票,21.67,24.24,28.00,18.26,98.20
161017,富国中证500指数增强(LOF),24.11,14.91,22.76,17.98,108.50
540010,汇丰晋信科技先锋股票,-5.14,4.53,7.29,17.74,89.96
110026,易方达创业板ETF联接,-6.55,-2.18,1.93,16.46,95.47
162216,泰达宏利中证500指数分级,20.22,17.78,22.66,16.18,117.51
165511,信诚中证500指数,19.88,12.84,20.61,14.95,49.90
159909,招商深证TMT50ETF,-3.49,-0.82,5.13,13.61,41.06
540008,汇丰晋信低碳先锋股票,9.92,7.55,9.33,14.18,74.11
340006,兴全全球视野股票,9.84,9.79,12.68,13.51,516.39
100032,富国中证红利指数增强,27.15,16.83,25.95,13.84,171.17
160119,南方中证500指数ETF联接 (LOF),13.40,8.49,16.79,12.96,68.99
162213,泰达宏利中证财富大盘指数A,22.78,13.96,26.82,13.44,73.13
160716,嘉实中证锐联基本面50指数(LOF),28.65,12.01,28.17,13.35,26.23
510290,南方上证380ETF,14.78,8.03,18.62,12.91,57.51
360001,光大保德信量化股票,19.97,16.69,17.92,13.24,390.43
217019,招商深证TMT50ETF联接,-1.03,-1.94,4.12,12.37,34.90
160616,鹏华中证500指数(LOF),15.88,7.03,15.76,12.31,30.60
110022,易方达消费行业股票,33.18,14.99,15.82,12.59,47.30
050002,博时裕富沪深300指数A,24.01,10.45,24.32,12.19,292.52
510230,国泰上证180金融ETF,20.04,-0.60,20.86,11.82,51.88
510150,招商上证消费80ETF,19.82,8.45,12.95,11.28,29.89
159907,广发中小板300ETF,7.80,6.88,10.78,11.16,27.05
100038,富国沪深300指数增强,20.19,10.26,23.14,11.80,48.80
510030,华宝兴业上证180价值ETF,22.76,7.10,23.64,11.84,41.62
165310,建信双利分级股票,17.98,8.78,12.53,11.79,50.70
202025,南方上证380ETF联接,14.46,6.69,16.66,11.55,49.38
162711,广发中证500ETF联接A,11.70,4.75,13.73,11.34,33.09
090010,大成中证红利指数,23.98,13.25,23.33,11.90,48.40
163407,兴全沪深300指数增强(LOF),28.20,9.41,22.43,11.66,44.15
161211,国投瑞银沪深300金融地产ETF联接,20.17,0.25,20.30,11.38,32.67
376510,上投摩根大盘蓝筹股票,9.94,2.46,5.96,11.24,30.50
590007,中邮上证380指数增强,6.01,6.30,15.94,11.22,77.46
161213,国投瑞银中证下游消费与服务产业指数（LOF）,16.77,7.04,13.27,11.01,33.70
161907,万家中证红利指数(LOF),22.27,11.90,22.56,11.44,48.78
217017,招商上证消费80ETF联接,18.42,7.66,11.91,10.38,26.00
162208,泰达宏利首选企业股票,15.30,0.18,6.52,10.80,97.32
020021,国泰上证180金融ETF联接,19.61,-0.55,19.06,10.56,46.83
310398,申万菱信沪深300价值指数,24.07,7.57,21.58,10.70,25.67
240016,华宝兴业上证180价值ETF联接,21.46,5.85,21.40,10.61,50.10
510070,鹏华上证民企50ETF,13.15,2.18,12.11,10.22,37.91
159910,嘉实深证基本面120ETF,19.61,12.15,23.54,10.64,42.69
159908,博时深证基本面200ETF,18.03,11.30,22.14,10.51,25.24
519671,银河沪深300价值指数,23.80,5.87,21.76,10.57,23.30
159905,工银深证红利ETF,17.66,8.20,22.16,10.49,21.51
585001,东吴中证新兴,10.50,1.17,9.83,9.97,12.60
510090,建信上证社会责任ETF,21.91,4.03,19.60,10.11,61.24
159916,建信深证基本面60ETF,20.31,12.44,24.18,10.33,51.62
510880,华泰柏瑞上证红利ETF,24.82,9.58,21.22,10.27,116.62
050021,博时深证基本面200ETF联接,16.09,11.42,21.22,10.01,23.97
206005,鹏华上证民企50ETF联接,12.01,2.06,11.40,9.57,35.20
540007,汇丰晋信中小盘股票,17.45,-2.05,9.86,9.85,16.60
481012,工银深证红利ETF联接,17.19,7.96,21.03,9.88,19.34
110003,易方达上证50指数,24.05,6.59,21.24,9.69,227.66
070023,嘉实深证基本面120联接,18.50,11.08,21.86,9.87,43.26
510130,易方达上证中盘ETF,18.63,1.88,15.79,9.46,25.14
530015,建信深证基本面60ETF联接,18.64,11.79,22.90,9.79,47.10
510220,华泰柏瑞上证中小盘ETF,13.75,2.60,15.24,9.32,10.08
530010,建信上证社会责任ETF联接,19.96,3.51,18.37,9.50,51.11
270026,广发中小板300ETF联接,7.24,2.95,7.52,8.91,16.08
510160,南方中证南方小康产业ETF,32.95,7.78,23.38,9.64,38.33
510260,诺安上证新兴产业ETF,13.33,0.31,10.64,9.06,13.10
660011,农银中证500指数,11.16,4.68,13.71,9.93,60.92
159911,鹏华深证民营ETF,1.29,-0.57,6.10,8.63,21.49
700002,平安大华深证300指数增强,10.59,5.79,13.69,9.13,60.83
110021,易方达上证中盘ETF联接,18.32,2.12,15.04,8.91,25.16
