基金代码,基金名称,一年回报率,两年回报率,三年回报率,五年回报率,总回报率
159915,易方达创业板ETF,-8.39,4.15,6.35,21.09,109.33
159909,招商深证TMT50ETF,-3.49,-0.82,5.13,13.61,41.06
510290,南方上证380ETF,14.78,8.03,18.62,12.91,57.51
510230,国泰上证180金融ETF,20.04,-0.60,20.86,11.82,51.88
510150,招商上证消费80ETF,19.82,8.45,12.95,11.28,29.89
159907,广发中小板300ETF,7.80,6.88,10.78,11.16,27.05
510030,华宝兴业上证180价值ETF,22.76,7.10,23.64,11.84,41.62
510070,鹏华上证民企50ETF,13.15,2.18,12.11,10.22,37.91
159910,嘉实深证基本面120ETF,19.61,12.15,23.54,10.64,42.69
159908,博时深证基本面200ETF,18.03,11.30,22.14,10.51,25.24
159905,工银深证红利ETF,17.66,8.20,22.16,10.49,21.51
510090,建信上证社会责任ETF,21.91,4.03,19.60,10.11,61.24
159916,建信深证基本面60ETF,20.31,12.44,24.18,10.33,51.62
510880,华泰柏瑞上证红利ETF,24.82,9.58,21.22,10.27,116.62
510130,易方达上证中盘ETF,18.63,1.88,15.79,9.46,25.14
510220,华泰柏瑞上证中小盘ETF,13.75,2.60,15.24,9.32,10.08
510160,南方中证南方小康产业ETF,32.95,7.78,23.38,9.64,38.33
510260,诺安上证新兴产业ETF,13.33,0.31,10.64,9.06,13.10
159911,鹏华深证民营ETF,1.29,-0.57,6.10,8.63,21.49
510010,交银上证180公司治理ETF,22.59,0.15,18.13,8.98,11.76
159902,华夏中小企业板ETF,3.37,4.08,7.49,8.25,222.05
510120,海富通上证非周期ETF,18.78,1.61,14.39,8.81,15.09
510180,华安上证180ETF,20.71,1.12,17.46,8.64,220.58
510190,华安上证龙头ETF,17.77,3.63,18.08,8.66,26.50
510210,富国上证综指ETF,18.57,2.24,16.97,8.70,23.24
159913,交银深证300价值ETF,16.49,5.85,17.18,8.54,46.90
510050,华夏上证50ETF,22.81,1.06,18.17,8.02,246.51
510280,华宝兴业上证180成长ETF,20.10,3.33,16.24,7.83,40.40
510110,海富通上证周期ETF,17.42,-2.36,17.47,7.50,25.49
159912,汇添富深证300ETF,4.84,1.35,11.16,7.29,26.60
510060,工银上证央企50ETF,22.46,-1.24,19.31,7.65,5.12
510270,中银上证国企100ETF,20.42,-0.10,17.55,6.80,21.12
159901,易方达深证100ETF,8.77,1.93,12.97,5.62,312.64
510020,博时上证超级大盘ETF,31.11,5.80,18.29,5.78,-10.81
159906,大成深证成长40ETF,-1.22,0.74,6.67,3.89,-10.80
159903,南方深证成份ETF,5.82,-3.53,10.31,2.23,-19.74
510170,国联安上证大宗商品股票ETF,24.44,0.55,10.08,-5.75,-43.61
110006,易方达货币 - A,2.50,2.71,3.34,3.70,43.99
110016,易方达货币 - B,2.76,2.96,3.59,3.95,43.23
