基金代码,基金名称,一年回报率,两年回报率,三年回报率,五年回报率,总回报率
110027,易方达安心回报债券 - A,5.40,12.14,28.24,19.05,144.17
110028,易方达安心回报债券 - B,5.01,11.75,27.81,18.67,139.81
050011,博时信用债券 - A/B,5.09,6.78,28.94,17.94,135.74
050111,博时信用债券 - C,4.70,6.40,28.46,17.51,129.13
690002,民生加银增强收益债券 - A,4.19,6.70,19.71,14.23,114.03
519989,长信利丰债券,-1.22,7.41,16.00,14.09,105.77
161115,易方达岁丰添利债券(LOF),2.11,11.29,21.56,14.07,100.58
690202,民生加银增强收益债券 - C,3.75,6.28,19.23,13.77,107.62
485114,工银添颐债券A,1.52,5.94,17.65,13.21,100.80
151002,银河收益债券,3.99,4.98,21.43,13.17,336.65
350006,天治稳健双盈债券,3.38,11.29,12.93,12.97,79.36
110008,易方达稳健收益债券 - B,5.90,11.32,17.22,12.91,131.46
410004,华富收益增强债券A,3.58,7.87,15.67,12.64,129.03
110007,易方达稳健收益债券 - A,5.56,11.06,16.88,12.55,125.74
485014,工银添颐债券B,0.84,5.26,16.81,12.42,93.00
410005,华富收益增强债券B,3.16,7.44,15.20,12.19,121.02
217018,招商安瑞进取债券,-0.12,7.43,16.99,11.93,66.20
530017,建信双息红利债券A,2.26,9.81,16.09,11.80,75.73
164105,华富强化回报债券(LOF),5.94,8.91,16.21,11.79,71.06
630003,华商收益增强债券A,0.62,9.12,13.11,11.27,96.23
121012,国投瑞银优化增强债券 - A/B,5.29,7.82,15.76,11.09,63.57
160915,大成景丰债券 (LOF),-1.43,8.46,15.87,10.91,62.31
040012,华安强化收益债券A,1.19,7.94,15.75,11.04,85.59
630103,华商收益增强债券B,0.16,8.66,12.63,10.82,89.50
162210,泰达宏利集利债券 - A,2.90,11.26,15.93,10.86,75.90
128112,国投瑞银优化增强债券 - C,4.84,7.34,15.25,10.58,59.09
110017,易方达增强回报债券 - A,2.50,9.65,14.54,10.61,122.26
040013,华安强化收益债券B,0.81,7.55,15.31,10.60,79.84
162299,泰达宏利集利债券 - C,2.57,10.87,15.50,10.39,69.60
485111,工银瑞信双利债券A,6.10,8.70,12.67,10.33,70.50
050106,博时稳定价值债券A,2.89,8.55,17.45,10.06,96.31
110018,易方达增强回报债券 - B,2.06,9.18,14.04,10.12,113.84
340009,兴全磐稳增利债券,3.35,8.02,17.04,10.01,65.11
050006,博时稳定价值债券B,2.57,8.21,17.08,9.68,98.08
485011,工银瑞信双利债券B,5.73,8.35,12.24,9.89,66.00
630007,华商稳健双利债券A,1.23,-0.14,9.83,9.70,48.24
530009,建信收益增强债券A,2.05,8.49,13.80,9.54,71.77
217008,招商安本增利债券,4.09,2.04,13.59,9.41,127.21
