基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
161219,国投瑞银新兴产业混合(LOF),0P0000UINU,5,5,24.27,低,13.56,低,0.88,高
163801,中银中国混合(LOF),F0000003WZ,2,3,31.36,偏低,21.04,偏低,0.28,低
163409,兴全绿色投资混合(LOF),0P0000SSDU,3,4,31.40,偏低,20.89,偏低,0.53,中
160512,博时卓越品牌混合(LOF),0P0000SVXI,4,5,36.63,中,22.24,中,0.82,高
161610,融通领先成长混合(LOF),F00000042M,1,1,48.54,高,29.98,高,0.28,低
160611,鹏华优质治理混合(LOF),F00000042K,2,2,23.06,低,16.93,低,0.14,低
163415,兴全商业模式优选混合(LOF),0P0000XBF0,5,0,27.92,低,15.75,低,1.06,高
166011,中欧盛世成长混合 (LOF) -A,0P0000VDDB,4,0,32.67,偏低,18.62,低,0.77,高
165512,信诚新机遇混合(LOF),0P0000TK9X,3,4,31.30,偏低,20.60,偏低,0.60,中
161810,银华内需精选混合(LOF),F0000004GI,4,4,32.08,偏低,18.54,低,0.81,高
160617,鹏华丰润债券(LOF),0P0000Q72P,4,4,4.47,中,1.52,偏低,1.92,中
163412,兴全轻资产混合(LOF),0P0000VGNO,5,0,32.35,偏低,18.76,偏低,0.80,高
160106,南方高增长混合(LOF),F0000003Y0,3,4,32.37,偏低,21.38,偏低,0.54,中
161706,招商优质成长混合 (LOF),F0000003YH,2,2,35.68,中,23.76,中,0.37,低
165313,建信优势动力混合(LOF),0P0000YBN0,3,3,25.65,低,17.22,低,0.58,中
163819,中银信用增利债券 (LOF),0P00015VSW,4,0,3.52,偏低,1.23,低,2.37,高
161005,富国天惠成长混合(LOF),F0000003YD,4,4,31.75,偏低,20.74,偏低,0.72,高
162207,泰达宏利效率优选混合(LOF),F0000003ZB,2,3,27.26,偏低,18.84,中,0.24,低
164808,工银四季收益债券(LOF),0P00011WRZ,4,5,5.19,中,2.48,中,1.73,中
160515,博时安丰18个月定期开债(LOF)A,0P0000Z69S,0,0,4.97,高,2.32,高,1.85,中
163824,中银盛利纯债一年定期开放债(LOF),0P0000Z2BK,0,0,3.16,偏低,1.21,低,2.46,高
