基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
217002,招商安泰平衡混合,F020217002,2,2,20.94,高,14.22,高,0.42,低
121001,国投瑞银融华债券,F020121001,3,3,17.98,高,11.68,高,0.67,低
090006,大成财富管理2020生命周期,F00000040K,1,1,21.38,高,13.99,高,0.35,低
253010,国联安安心成长混合,F0000003Y1,4,3,5.07,偏低,1.17,低,2.02,高
162205,泰达宏利风险预算混合,F0000003XF,2,4,8.04,中,4.50,中,0.69,偏低
000125,上投摩根天颐年丰混合A,0P0000YYWL,3,0,4.51,低,1.52,偏低,1.66,中
000256,上投摩根红利回报混合A,0P0000ZBI5,3,0,3.71,低,1.09,低,2.04,高
000121,华夏永福养老理财混合A,0P0000Z3OX,5,0,5.32,偏低,1.18,低,2.21,高
202101,南方宝元债券,F020202101,5,5,13.15,中,8.14,中,0.95,偏低
420009,天弘安康养老混合,0P0000X6Z7,4,0,5.57,中,2.49,中,1.57,中
519020,国泰金泰平衡混合A,0P0000XMO4,2,0,3.53,低,2.16,偏低,1.62,中
